symbol,Company ,price,volume
MSFT,Microsoft,145.6558325,605334700
AAPL,Apple,240.0149968,652745566
AMZN,Amazon,1860.105825,78044300
GOOGL,Alphabet,1236.770854,34432158.33
BABA,Alibaba,185.7262497,339251091.7
FB,Facebook,190.2608338,324454366.7
JNJ,Johnson & Johnson,135.7049987,161076825
V,Visa,177.5908353,173167075
WMT,Walmart,112.4274998,130562366.7
PG,Procter & Gamble,116.5833341,155712566.7
JPM,JPMorgan Chase,117.5125001,264830758.3
MA,Mastercard,276.7316627,83747691.67
TSM,Taiwan Semiconductor,48.10333308,156553350
INTC,Intel,53.47749992,469360091.7
UNH,UnitedHealth,251.795003,87509625
VZ,Verizon,57.90666725,284369600
T,AT&T,35.0325,667856116.7
HD,Home Depot,214.8549996,94540716.67
MRK,Merck,83.30583392,200705566.7
BRK-A,Berkshire Hathaway,314962,6558.333333
