symbol,Company ,price,volume,attack_cost
MSFT,Microsoft,145.6558325,605334700,1322557945
AAPL,Apple,240.0149968,652745566,2350030874
AMZN,Amazon,1860.105825,78044300,2177559856
GOOGL,Alphabet,1236.770854,34432158.33,638770347.9
BABA,Alibaba,185.7262497,339251091.7,945117494.5
FB,Facebook,190.2608338,324454366.7,925964375.1
JNJ,Johnson & Johnson,135.7049987,161076825,327883954.9
V,Visa,177.5908353,173167075,461293282.4
WMT,Walmart,112.4274998,130562366.7,220182006.8
PG,Procter & Gamble,116.5833341,155712566.7,272302352.8
JPM,JPMorgan Chase,117.5125001,264830758.3,466813867.7
MA,Mastercard,276.7316627,83747691.67,347634569.4
TSM,Taiwan Semiconductor,48.10333308,156553350,112961069.1
INTC,Intel,53.47749992,469360091.7,376503064
UNH,UnitedHealth,251.795003,87509625,330517294.3
VZ,Verizon,57.90666725,284369600,247003437
T,AT&T,35.0325,667856116.7,350950041.1
HD,Home Depot,214.8549996,94540716.67,304688184.6
MRK,Merck,83.30583392,200705566.7,250799169.1
BRK-A,Berkshire Hathaway,314962,6558.333333,30984386.75
